model_a,model_b,n_cities,n_significant,a_sig_wins,b_sig_wins,a_sig_wins_fdr,b_sig_wins_fdr,median_p_value
chronos,chronos_base,29,1,1,0,0,0,0.49792931272195495
chronos,chronos_base_cov,29,7,7,0,6,0,0.24046691666195494
chronos,chronos_cov,29,7,7,0,5,0,0.27214901547061776
chronos,timesfm,29,1,1,0,0,0,0.4682019800056332
chronos,timesfm_cov,29,6,6,0,5,0,0.3430267241120357
chronos_base,chronos_base_cov,29,6,6,0,5,0,0.2720886941482358
chronos_base,timesfm,29,0,0,0,0,0,0.5865555284859407
chronos_base,timesfm_cov,29,6,6,0,4,0,0.4034932487323514
chronos_base_cov,timesfm,29,11,0,11,0,5,0.17716565245772758
chronos_base_cov,timesfm_cov,29,3,1,2,1,1,0.2792172207635137
chronos_cov,chronos_base,29,8,0,8,0,5,0.4854634814754806
chronos_cov,chronos_base_cov,29,3,1,2,0,0,0.5279592244775431
chronos_cov,timesfm,29,10,0,10,0,9,0.10940081162528775
chronos_cov,timesfm_cov,29,4,1,3,0,0,0.2973763804763004
lgbm_direct,chronos,29,2,1,1,0,0,0.4388632402527044
lgbm_direct,chronos_base,29,1,0,1,0,0,0.37883884103983667
lgbm_direct,chronos_base_cov,29,5,5,0,2,0,0.33532292140194897
lgbm_direct,chronos_cov,29,5,5,0,2,0,0.3557315884886125
lgbm_direct,timesfm,29,1,0,1,0,0,0.35823982759128814
lgbm_direct,timesfm_cov,29,4,4,0,1,0,0.36850981183747633
seasonal_naive,chronos,29,18,0,18,0,13,0.028617142060296172
seasonal_naive,chronos_base,29,15,0,15,0,12,0.044007837360496155
seasonal_naive,chronos_base_cov,29,10,0,10,0,6,0.14092357446449513
seasonal_naive,chronos_cov,29,13,0,13,0,9,0.0882358198237777
seasonal_naive,lgbm_direct,29,14,0,14,0,10,0.07797907989055237
seasonal_naive,timesfm,29,17,0,17,0,15,0.013222288879371115
seasonal_naive,timesfm_cov,29,15,0,15,0,11,0.03965672275217907
timesfm,timesfm_cov,29,9,9,0,6,0,0.36494788692921254
